busn_date,name,ip,industry,region,channel,address,balance
2020-01-31,Jeffrey Archer MD,192.168.185.190,retail,QLD,phone,"820 Tina Mountains
Rossside, AL 50644",12170.0
2020-02-29,James Dorsey,172.21.30.166,travel,NSW,online,"7467 Meadows Walk
North Jaredview, CO 37786",468668.0
2020-03-31,Jeffery White,172.31.174.98,construction,Den Haag,online,"5319 Sheryl Camp Suite 809
Lake Patrick, CO 66424",600384.0
2020-04-30,Stephen Reeves,172.26.133.182,fishing,Den Haag,phone,"408 Jennifer Trace Suite 502
Thomashaven, WY 68089",276302.0
2020-05-31,Kim Solis,192.168.198.190,retail,QLD,instore,"8574 Hernandez Shoal Suite 711
Laceyburgh, NJ 09734",71950.0
2020-06-30,Virginia Anderson,192.168.38.182,retail,VIC,phone,"701 Clark Heights
Hernandezport, AK 95073",279553.0
2020-07-31,Justin Moreno,192.168.183.118,retail,NSW,phone,"936 Amy Square Suite 937
Collinstown, MT 73013",503338.0
2020-08-31,Amy Brewer,192.168.163.199,travel,Den Haag,phone,"043 Barton Walk
Lopezfort, FL 47888",44486.0
2020-09-30,Tammy Parker,192.168.6.24,fishing,VIC,online,"7723 Huff Flats
Brittneyberg, NV 66264",375762.0
2020-10-31,Crystal Rivas,192.168.227.151,travel,NSW,online,"259 Wheeler Canyon
South Larrymouth, ME 75003",630359.0
2020-11-30,Ashley Taylor,172.23.48.186,construction,NSW,online,"69535 Baker Ridge Suite 227
New James, OR 67177",2964.0
2020-12-31,Justin Roberts,192.168.18.172,construction,VIC,online,"5724 Andrew Gardens Suite 176
West Markshire, LA 59115",245291.0
2021-01-31,Michelle Morton,10.73.212.250,fishing,VIC,online,"PSC 3371, Box 9145
APO AP 35703",184329.0
2021-02-28,Jaclyn Brown,192.168.179.143,construction,Den Haag,instore,"822 Ortiz Well
New Kayla, KS 14122",446368.0
2021-03-31,Timothy Shaw,10.241.63.41,travel,NSW,phone,"971 Beasley Burgs
Ryanfort, VA 69385",272466.0
2021-04-30,Michael Torres,172.28.31.140,retail,NSW,instore,"02831 Anne Parks Suite 523
Pamelaton, WY 24755",240878.0
2021-05-31,Matthew Mills,192.168.66.97,retail,NSW,instore,"73995 Soto Well
North Tina, AL 03356",113662.0
2021-06-30,Brian Alexander,10.231.231.137,fishing,VIC,instore,"15482 Carlos Tunnel
Reedview, PA 90152",60782.0
2021-07-31,Fernando Smith,192.168.94.86,fishing,VIC,online,"9412 Simon Branch Suite 489
Barbaraport, ID 05754",139315.0
2021-08-31,Brianna Burton,10.18.196.235,fishing,NSW,online,"90193 Morales Square Suite 851
North Christopher, LA 77955",556999.0
2021-09-30,Jeremy Bass,10.114.49.55,retail,Den Haag,phone,"499 Mcintyre Meadows Suite 350
Anthonyland, VA 05682",511554.0
2021-10-31,Michelle Roth,172.18.25.90,travel,VIC,instore,"584 Dylan Track
Cindychester, ME 98700",758022.0
2021-11-30,Jason Lambert,172.27.168.177,travel,VIC,instore,"982 Robert Pines Apt. 385
South Beth, AL 35423",24659.0
2021-12-31,Valerie Allison,10.89.249.122,travel,Den Haag,instore,"53132 Samantha Islands
East Eddieport, CA 95506",420469.0
2022-01-31,Thomas Barron,10.23.150.250,fishing,NSW,online,"539 Reese Crossing
East Kevin, NE 93011",703458.0
2022-02-28,Mrs. Margaret Townsend,192.168.148.119,retail,VIC,phone,"9850 Kristy Extensions Suite 514
Robertsport, SC 07128",917528.0
2020-01-31,Jonathan Roberts,172.17.190.82,construction,NSW,phone,"424 Dawn Route Apt. 185
Lake Michellemouth, ND 86562",926473.0
2020-02-29,Stephanie Johnson,10.31.37.16,construction,NSW,phone,"948 Murillo Groves
Baileyfurt, CT 45720",960701.0
2020-03-31,Robert Brown,172.25.187.192,construction,NSW,instore,"890 William Track
Chaseburgh, ME 15723",668291.0
2020-04-30,Michael Thomas,192.168.112.6,retail,VIC,phone,"3207 Roy Grove
Lake Anthony, WI 98111",971598.0
2020-05-31,Chris Murphy,172.18.4.59,travel,Den Haag,instore,"1669 Crystal Village Apt. 043
West Jessica, MT 59565",544022.0
2020-06-30,Travis Rios,172.19.243.165,travel,QLD,phone,"03218 Matthew Greens Suite 674
Barkerberg, IL 70284",48158.0
2020-07-31,Savannah Morgan,172.27.237.59,fishing,NSW,online,"11297 Kristy Harbors Suite 780
Hernandezport, OK 39349",852384.0
2020-08-31,Daniel Alvarez,10.80.100.180,construction,VIC,instore,"440 Woods Lake Suite 875
Hollandhaven, CO 83517",495353.0
2020-09-30,Dylan Stokes,192.168.149.228,fishing,QLD,phone,"62585 Pineda Centers Apt. 957
North Jenniferside, IL 13991",42105.0
2020-10-31,Cynthia Smith,172.18.65.246,retail,NSW,instore,"4717 Jessica Circles Apt. 828
East Ellenland, DE 34426",117364.0
2020-11-30,Linda Frank,192.168.95.172,fishing,Den Haag,online,"10484 Myers Common
Port Maryview, MD 18055",592793.0
2020-12-31,Daniel Smith,192.168.252.196,fishing,Den Haag,phone,"815 Ramirez Green Suite 025
Bowersmouth, WA 54201",74380.0
2021-01-31,Michele Guzman,172.29.148.102,construction,VIC,phone,"89969 Deleon Drives Apt. 104
North Donnaland, NE 18843",847121.0
2021-02-28,Christopher Carpenter,172.24.240.59,travel,Den Haag,phone,"5805 Hansen Place Suite 890
New Emilymouth, KY 38602",707167.0
2021-03-31,Robert Spencer,10.163.126.110,travel,NSW,online,"952 Welch Mews Apt. 615
Allenborough, AK 99632",167219.0
2021-04-30,Luis Berg,172.22.59.221,fishing,NSW,phone,"PSC 2500, Box 1898
APO AA 09642",162162.0
2021-05-31,Steven Ward,172.26.149.152,retail,NSW,online,"5965 Keith Forks
Port Kimberly, WY 18426",665126.0
2021-06-30,Gary Taylor,172.31.24.137,fishing,VIC,online,"2693 Brown Loop
Jonathanhaven, HI 57462",179693.0
2021-07-31,Veronica King,192.168.124.41,construction,QLD,phone,"7735 Alfred Villages Apt. 618
Murphyfort, IL 18195",100734.0
2021-08-31,Dr. Joann Moreno DDS,172.22.106.50,fishing,VIC,online,"067 Hudson Meadow Suite 199
Port Codychester, ND 80875",932798.0
2021-09-30,Breanna Davis,192.168.239.21,construction,QLD,instore,"8590 Weeks Ports
Pagehaven, AR 38251",483062.0
2021-10-31,Mark Cantu,192.168.64.6,construction,VIC,instore,"1614 Derek Bypass Suite 277
South Raymondmouth, VA 15229",798919.0
2021-11-30,Willie Smith,192.168.71.117,travel,NSW,phone,"95021 Lisa Mission Apt. 482
South Karen, WA 56285",888581.0
2021-12-31,Barbara Lin,10.203.71.26,travel,Den Haag,phone,"407 Ryan Throughway Apt. 237
Ashleyhaven, OR 25094",560621.0
2022-01-31,Anna Boyd,10.246.94.61,retail,VIC,instore,"6341 Aguilar Flat
West Matthew, LA 52032",917333.0
2022-02-28,Karen Sharp,172.19.29.60,travel,NSW,online,"88995 Jessica Coves
West Haley, CO 10220",838984.0
2020-01-31,Daniel Lynch,10.117.247.68,construction,Den Haag,phone,"8788 Martin Row Suite 480
Michaeltown, WV 48313",823618.0
2020-02-29,Jake Herrera,172.26.154.94,fishing,Den Haag,online,"923 Dennis Plaza
Serranoton, SD 25851",773161.0
2020-03-31,Dylan Gonzalez,10.176.200.141,retail,VIC,instore,"8817 Matthew Junctions Apt. 546
Andrewsberg, ME 24210",243826.0
2020-04-30,Debbie Pierce,192.168.85.163,travel,VIC,online,"6928 Joseph Manor
New Jacqueline, MO 38333",390650.0
2020-05-31,Veronica Johns,10.28.92.107,travel,VIC,instore,"15867 Wilson Shoal
New Ryan, IA 31202",245115.0
2020-06-30,Elizabeth Hines,10.226.111.50,travel,NSW,online,"06264 Jones Crossing Suite 805
West Michelle, NH 27722",234917.0
2020-07-31,Anthony Williams,172.25.15.79,construction,VIC,phone,"67711 Jonathan Burg Apt. 108
Port Kevinland, IN 34113",775024.0
2020-08-31,Timothy Orr,192.168.110.115,retail,Den Haag,instore,"96889 Robert Crest Apt. 911
East Kristin, IL 42372",504331.0
2020-09-30,Thomas Robertson,172.23.112.222,travel,NSW,online,"USNV Brown
FPO AE 71306",3086.0
2020-10-31,Michelle Nguyen,172.18.237.74,construction,QLD,instore,"548 Pratt Burg
Andrewland, GA 21928",50077.0
2020-11-30,Brandon Murillo,10.169.10.235,retail,Den Haag,online,"11408 Robert Divide
Jamesstad, MT 36154",983596.0
2020-12-31,Alexandra Campbell,192.168.179.88,fishing,Den Haag,instore,"2183 Jacob Extensions
North Rebecca, PA 02379",870928.0
2021-01-31,David Hensley,10.94.0.111,travel,NSW,online,"754 Mullins Shoals
Sarahborough, VA 69379",834143.0
2021-02-28,Shane Meyer,172.18.101.162,travel,NSW,phone,"67602 Stewart Knoll Apt. 393
Williamsburgh, HI 82218",172322.0
2021-03-31,Jennifer West,10.139.245.90,travel,NSW,phone,"6354 Troy Mount Suite 029
Gonzalezbury, SD 01095",183425.0
2021-04-30,Brian Osborn,10.211.131.187,travel,NSW,online,"78113 Peter Extensions Suite 149
Simonhaven, NE 06818",610163.0
2021-05-31,Jennifer Patel,172.25.208.112,fishing,VIC,instore,"307 Harris Ridges
West Christopherside, NH 83068",538915.0
2021-06-30,Russell Stephenson,192.168.143.59,construction,QLD,phone,"879 Brown Vista Suite 669
South Kennethtown, PA 76659",801451.0
2021-07-31,David Cooper,172.30.54.32,retail,QLD,instore,"693 Stevens Roads
Lake Timothy, IA 62867",79709.0
2021-08-31,Erica Garcia,172.30.3.14,travel,VIC,instore,"197 Knight Path Apt. 785
Ortizhaven, NH 35470",656179.0
2021-09-30,Jason Smith,10.67.153.6,retail,VIC,online,"50253 Sarah Garden Apt. 782
New Rhonda, RI 38369",449158.0
2021-10-31,Jonathan Dominguez,172.25.149.15,retail,QLD,online,"USCGC Valencia
FPO AE 76351",291507.0
