busn_date,name,ip,industry,address,balance
2020-01-31,Matthew Rodriguez,172.25.95.129,fishing,"3037 Caitlin Roads
Port Deborah, NY 08851",309667.0
2020-02-29,Heidi Curtis,192.168.235.4,travel,"54093 William Terrace
Landryfurt, NM 35310",3560.0
2020-03-31,Brittany Padilla,10.103.122.248,construction,"0558 Samantha Inlet Suite 877
Morganchester, UT 43825",424053.0
2020-04-30,Jeffrey Rodriguez,10.195.102.23,construction,"79867 William Forge
Laurenburgh, FL 11782",729922.0
2020-05-31,John Johnson,172.31.178.130,retail,"1954 Michael Lake
New Randymouth, FL 45000",150195.0
2020-06-30,Nathan Alexander,172.19.36.104,fishing,"0502 Mark Extension
Port Roberttown, HI 81013",593979.0
2020-07-31,Kelly Robinson,10.90.45.112,travel,"55366 Wallace Meadow Apt. 701
New Sheryl, LA 21290",835424.0
2020-08-31,Justin Smith,192.168.0.244,travel,"8788 Franklin Knolls Suite 555
Hollandbury, MI 94477",991371.0
2020-09-30,Lisa Anderson,192.168.28.201,construction,"USNS Franklin
FPO AE 89640",452956.0
2020-10-31,Heather Hernandez,10.243.122.136,travel,"Unit 0784 Box 0568
DPO AP 05774",165426.0
2020-11-30,Angela Brown,172.21.226.13,construction,"9114 Angela Rapids Apt. 698
West Sarahaven, AL 07633",981535.0
2020-12-31,Rebecca Anderson,10.174.79.66,retail,"Unit 4749 Box 3098
DPO AE 93837",222698.0
2021-01-31,Jennifer Pierce,192.168.165.116,travel,"876 Barry Spring
West Brianton, MS 06781",288337.0
2021-02-28,David Lambert,192.168.115.94,fishing,"79903 Moody Trafficway
Olsonhaven, ME 55229",986567.0
2021-03-31,Tara Brooks,10.100.56.225,travel,"09110 Peterson Centers Suite 150
Port Allisonchester, IN 24304",716392.0
2021-04-30,Douglas Travis,10.47.242.248,construction,"56394 Kim Port Suite 901
East Tina, OK 34399",530544.0
2021-05-31,Stacey Stephenson,192.168.23.182,retail,"792 Sheryl Ranch
Mcclurefurt, OH 00872",648933.0
2021-06-30,Robert Berger,192.168.38.164,retail,"PSC 2895, Box 3391
APO AA 80225",464904.0
2021-07-31,Christopher Torres,192.168.218.20,travel,"148 William Club Suite 833
Travishaven, WY 16295",598872.0
2021-08-31,Robert Schultz,192.168.7.174,construction,"09680 Gibson Flats
Lawsonmouth, TN 37598",183.0
2021-09-30,Kevin Alvarez,192.168.51.72,construction,"58471 Mendoza Trail Apt. 162
Davidhaven, RI 83338",982978.0
2021-10-31,Amanda Richardson,192.168.16.104,construction,"973 Davis Inlet
New Anthonyberg, WA 41171",212597.0
2021-11-30,Sandra Lee,10.163.76.121,construction,"2282 Steele Valley
New Kelly, NV 94675",100178.0
2021-12-31,Christopher Sullivan,172.21.116.76,travel,"96831 Edwards Valleys Suite 119
Deleonstad, IL 85411",541985.0
2022-01-31,Anne Davis,10.61.93.131,travel,"98426 Browning Island
North Dylan, VT 51202",179672.0
2022-02-28,Mary Hill,192.168.16.123,travel,"58020 Flowers Heights
Jessechester, LA 78460",719162.0
2020-01-31,Justin Little,10.138.172.22,travel,"07202 White Forges Apt. 682
South Aimeeland, NC 55461",873686.0
2020-02-29,Jaime Johnson,10.65.162.236,fishing,"Unit 7636 Box 6269
DPO AA 58064",517079.0
2020-03-31,Daniel Rojas,172.20.160.178,travel,"4366 Gamble Hills Apt. 770
Lake Davidfort, NC 91211",898205.0
2020-04-30,Lisa Hernandez,192.168.234.105,retail,"2754 Lindsey Vista Apt. 388
Tammychester, MT 32480",307812.0
2020-05-31,Zachary Jenkins,172.30.63.6,construction,"USNV Smith
FPO AE 92263",596888.0
2020-06-30,Benjamin Garcia,10.48.16.227,retail,"63180 Webb Land Suite 939
East Deborahmouth, AK 49025",452523.0
2020-07-31,Christopher Gomez,192.168.132.18,fishing,"0565 Thomas Forks Apt. 542
Kimberlyhaven, MO 08207",552290.0
2020-08-31,Kimberly Hill,192.168.15.83,fishing,"8535 Parker Hills Apt. 489
North Dianastad, MD 12779",663995.0
2020-09-30,Mary White,192.168.230.50,construction,"15135 Walsh Alley Apt. 979
New Brittany, FL 02130",638514.0
2020-10-31,Michael Cooper,172.27.246.106,fishing,"196 Meyer Walks
South Mary, CT 67152",466609.0
2020-11-30,Derek Roberson,10.81.177.222,fishing,"0584 Matthew Fall
New Marieside, MN 75221",800621.0
2020-12-31,Zachary Hale,10.171.23.32,retail,"5969 Gomez Haven
Justinville, VT 30934",60973.0
2021-01-31,Anthony Peters DVM,172.22.116.183,retail,"093 Angela Station Suite 438
Lake Joannetown, AK 93224",974494.0
2021-02-28,Cody Thomas,172.20.140.252,fishing,"6232 Amber Stream
West Richardport, MA 82881",445538.0
2021-03-31,Jennifer Daniels,192.168.245.225,fishing,"109 Linda Lake Suite 886
Jenniferland, KS 82252",521509.0
2021-04-30,Alicia Henry,192.168.194.9,construction,"088 Bryan Well Suite 837
Port Alexstad, MA 48467",638235.0
2021-05-31,Lisa Fuentes,10.90.227.45,fishing,"08382 Henderson Mills Apt. 932
East Kellyfort, NC 76845",267466.0
2021-06-30,Michelle Hanson,192.168.233.209,retail,"022 Wells Manors
South Connie, NJ 91313",906641.0
2021-07-31,Heather Huff,10.188.204.95,fishing,"444 Sellers Ways Suite 607
Travisfort, CA 88569",213233.0
2021-08-31,Marie Johnson,10.96.214.208,travel,"04890 Thompson Stream Apt. 407
Elizabethstad, HI 28138",404278.0
2021-09-30,Kenneth Murray,10.160.217.0,retail,"50267 Crystal Shoal Suite 121
North Devin, MD 32587",599686.0
2021-10-31,Sarah Sellers,10.171.240.0,fishing,"4896 Howell Springs Apt. 861
Lake Christopher, MN 38519",501697.0
2021-11-30,Larry Hart,172.26.122.61,fishing,"1048 Jennifer Locks
Lake Kaylaville, VA 53513",350049.0
2021-12-31,James Thomas,172.27.98.57,construction,"17853 Mueller Manor
Lake Robert, MS 24923",845156.0
2022-01-31,Jill Murphy,10.242.175.88,retail,"4712 Daniel Track Apt. 461
Ortegashire, FL 80061",197692.0
2022-02-28,Alan Myers,172.21.74.167,fishing,"2540 Larry Road
Walkermouth, KS 40253",717422.0
2020-01-31,Michael Newman,192.168.34.187,construction,"52014 Drew Port
New Ralphmouth, IA 81392",205946.0
2020-02-29,Charles Ferguson,192.168.168.133,fishing,"9500 Chelsea Rest Apt. 297
Lake Randall, NH 85888",630420.0
